,static,sentence
1731,风扇,"风扇叶片脱落,风扇叶片断裂,异物进入到风扇叶片附近导致打坏风扇叶片   客户自己购买配件我们更换后恢复正常"
1732,加力器,"两前轮刹车冒烟。,前轮刹车失灵，冒烟,前加力器损坏"
1733,螺栓,"漏气,管路松动，,管路接头松动"
1734,加力器,"刹车不灵,刹车不灵。,加力器皮腕磨损"
1735,螺栓,"漏油,漏油,,螺丝松动"
1736,油管接头,"升大臂发振先导阀发抖,升大臂发振先导阀手柄发抖。,经检查后，把先导阀其他附件拆除更换阻尼接头处理，拆除安装紧固螺栓处理后，试机工作正常。"
1737,螺栓,"油管漏油,用户反应漏柴油,柴油管螺丝松动导致漏油"
1738,螺栓,"刹车不好用,客户反应刹车不好用,重新紧固后试车正常"
1739,燃油箱,"柴油箱开裂,柴油箱漏油,柴油箱开裂"
1740,气制动阀总成,"刹车失灵,漏气,漏气"
1741,组合阀,"组合阀漏气,组合阀漏气,组合阀损坏"
1742,GPS,"GPS无信号,无定位,GOS损坏"
1743,O型圈,"车子漏油,车子漏油,密封圈损坏"
1744,螺栓,"没刹车。。螺栓松动，,油管恰螺栓断裂，,螺栓松动。导致松动"
1745,前桥螺栓,"后前有异响；前车架有异响,前桥螺栓松动,螺栓松动。"
1746,风扇支架,"发动机风扇支架开裂,发动机风扇支架损坏,发动机风扇支架损坏"
1747,气管接头,"车子漏气。,该用户反应铲车漏气，无法行走。,组合阀出气管密封不严导致漏气，拆卸气管，更换新的密封垫后安装管路后，试机运转正常！"
1748,前传动轴及支承总成,"行走异响,行走异响，,轴承座损坏"
1749,加力器,"后加力器漏气。,踩刹车时加力器漏气,加力器损坏"
1750,加力器,"刹车发卡,刹车泵喷油,前刹车泵损坏所致"
1751,加力器,"前刹车冒烟,现场检查发现后刹车泵发卡,后刹车泵发卡，造成只用前刹车系统，导致前刹车发热，冒烟"
1752,组合阀,"组合阀漏气,组合阀漏气,组合阀压力阀漏气"
1753,上罩,"后机罩脱漆,脱漆,后机罩脱漆"
1754,上罩,"机罩掉漆,机罩掉漆,机罩掉漆"
1755,上罩支架,"发动机支架开裂,发动机上罩支架断裂,支架管断裂，因为一个管"
1756,前传动轴及支承总成,"工作时有异响,工作时有异响,前传动轴及支承总成损坏"
1757,雨刮总成,"雨刮臂不工作,雨刷臂不工作。,紧固雨刷臂螺栓后试车正常。"
1758,前传动轴及支承总成,"前传动轴及支撑总成损坏,前传动轴及支承总成损坏,更换前传动轴及支承总成后试车正常"
1759,上罩支架,"上罩开裂,上罩开裂,上罩开裂"
1760,上罩支架,"上罩开裂,发动机上罩开裂！,上罩开裂"
1761,左门锁,"没刹车，门锁坏,左门锁损坏,左门锁损坏，更换新件后使用正常"
1762,螺栓,"刹车抱死,主液压泵螺栓松动，漏油,紧固主液压泵螺栓后使用正常"
1763,上罩支架,"上罩开裂,发动机上罩开焊断裂,发动机上罩支架断裂"
1764,油管接头,"漏油,客户反应漏油,重新紧固后试车正常"
1765,液位计,"液压油位计处漏油。,用户反应该机液压油箱液位计漏液压油,经拆卸更换新液位计重新装配后试机，该机漏液压油现象消失，故障排除"
1766,螺栓,"液压油管压板螺栓断裂，漏油。,用户反应该机液压油管漏液压油，无法继续使用,经拆卸软管取出压盘断裂螺栓，更换O型圈及螺栓重新装配加注液压油后试机，该机液压油外漏现象消失故障排除"
1767,气制动阀总成,"制动阀漏气,在使用过程中发现制动阀漏气,更换制动阀"
1768,气管接头,"漏气,漏气,更换组合垫后试车正常"
1769,组合阀,"漏气,组合阀漏气,漏气"
1770,上罩支架,"发动机上罩开裂,发动机上罩开裂,发动机上罩开裂"
1771,上罩支架,"发动机上罩开裂,发动机上罩开裂,发动机上罩开裂"
1772,螺栓,"动臂软管漏油,动臂软管漏油,软管外部螺栓松动！"
1773,下铰接螺栓,"绞接底端盖螺栓断裂松动,绞接螺栓断裂,螺栓松动断裂"
1774,气管接头,"漏气,漏气,管接头胶垫老化导致漏气"
1775,前桥螺栓,"前桥螺栓断裂,用户来电反应铲车前桥螺栓断裂,一切正常"
1776,前传动轴及支承总成,"传动轴异响,前传动轴，法兰螺栓磨损。,前传动轴法兰，锁紧螺母脱槽，照成前传动轴异响"
1777,前传动轴及支承总成,"传动轴异响,传动轴异响,吊架磨损，更换前传动轴总成"
1778,下铰接,"装载机变速箱异响,下铰接打不进黄油,下铰接打不进黄油"
1779,油管接头,"手柄漏油,先导手柄漏油,先导油管弯接头破裂"
1780,风扇,"发动机风扇断裂,风扇叶片断裂,风扇叶子断裂"
1781,螺栓,"前传动轴脱落,中间传动轴脱落,螺栓切断"
1782,上罩支架,"上罩总成开裂,经现场检查，发动机上罩总成断裂,开裂，断裂"
1783,前传动轴及支承总成,"前传动轴发响,制动阀气室漏气,该机行走过程中前传动轴发响,该机行走过程中前传动轴发响，是前传动轴过桥支撑轴一端发兰盘花键齿磨损严重，法兰盘上下串动发响"
1784,放水阀,"机子刹车气不够用,该机驾驶员反映机子刹车气很不够用，要经常大油门打气,该机驾驶员反映机子刹车气很不够用，要经常大油门打气，经检查是空气罐下面的手动放水拉阀密封不严，导致机子气外露"
1785,燃油箱,"柴油箱漏柴油,柴油箱漏柴油,经现场检查发现柴油箱焊接处裂纹漏柴油，更换柴油箱总成后试机正常。"
1786,上罩支架,"上罩开裂,发动机上罩开裂,发动机上罩开裂"
1787,推拉软轴,"举升慢,客户反应举升慢,重新调整后试车正常"
1788,风扇,"车子风扇叶断裂,发动机抖动严重,风扇叶片断裂导致"
1789,上罩支架,"机罩支架开裂,断了,振动断裂"
1790,风扇,"更换发动机风扇叶,发动机风扇工作时向里吸风,发动机风扇向里吸风"
1791,推拉软轴,"大小臂重,操纵拉杆重,调整操纵软轴位置"
1792,换档软轴,"车辆脱档,车辆脱档,调整后试车正常，维修完毕。"
1793,加力器,"没有刹车，检查加力器漏油损坏,没有刹车,更换加力器总成"
1794,螺栓,"转向漏油,转向漏油,紧固转向软管螺丝后，试车正常"
1795,推拉软轴,"反斗动作慢,反斗动作慢,调整后试车正常，维修完毕"
1796,前传动轴及支承总成,"前后传动轴有异响,传动轴高速下坡有异响,更换前传动轴后正常"
1797,上罩支架,"上罩开裂,发动机上罩开裂,发动机上罩开裂"
1798,工作泵,"动臂无力,动臂干活没劲，起臂慢,工作泵损坏内部泄漏"
1799,螺栓,"漏气,漏气,紧固螺母后试车正常。"
1800,空调继电器,"空调不制冷,空调冷凝风扇不转,冷凝器风扇继电器损坏不工作导致空调不制冷"
1801,风扇支架,"发动机高温报警,发动机高温报警,发动机风扇支架内轴承打坏散掉"
1802,推拉软轴,"动臂油缸慢落,动臂软轴松动。,动臂软轴松动。"
1803,换档软轴,"车不走,车不走,变速箱挂档拉线销钉损坏"
1804,下铰接,"车辆异响,车辆异响,调整后试车正常，维修完毕"
1805,螺栓,"车辆不行走,车辆不行走,更换螺栓调整后试车正常，维修完毕。"
1806,加力器,"客户反映无刹车,客户反映无刹车,现场检查发现前空气加力器内部泄油，导致无刹车。更换前空气加力器后试车正常"
1807,油门踏板,"油门踏板损坏,油门踏板损坏,油门踏板长时间用力踩，踏板下弹簧断裂，损坏"
1808,加力器,"带刹车,带刹车,带刹车"
1809,推拉软轴,"小臂无力,小臂拉线松动，紧固螺丝后使用正常,小臂拉线松动，紧固螺丝后使用正常"
1810,上罩,"后机罩子掉漆,油漆脱落,可能经历暴晒而造成"
1811,上罩支架,"上罩开裂,发动机上罩开裂,发动机上罩开裂"
1812,前桥螺栓,"后桥螺栓松动,客户在使用过程中发现后桥固定螺丝松动,螺栓脱落"
1813,左门锁,"驾驶室左车门打不开,左门锁，锁不上，,左门锁，锁不上"
1814,刹车管,"刹车不好用,刹车不好用,换上新的刹车管工作正常"
1815,组合阀,"组合阀漏气,漏气,组合阀漏气"
1816,雨刮总成,"雨刮不工作 脚踏不能回位,雨刮不工作,雨刮不工作"
1817,油门踏板,"雨刮不工作 脚踏不能回位,弹簧短,油门无回位"
1818,燃油箱,"柴油箱漏油,漏油,燃油箱漏油，更换柴油箱"
1819,上罩支架,"顶盖支架断裂,发动机顶盖支架断裂,质量问题"
1820,前桥螺栓,"前传动轴抖动大,前传动轴抖动过大,螺丝松动导致"
1821,换档软轴,"机车使用过程中会脱挡,机车会脱挡,检查为变速操作软轴间隙过大导致脱挡，重新调整间隙后故障排除"
1822,空调压缩机,"空调压缩机不制冷,无法制冷,线断了"
1823,上罩支架,"顶盖支架断裂,顶盖支架断裂,顶盖支架质量问题导致断裂"
1824,螺栓,"打不着车,铲车有时不好打着车,紧固继电器线固定螺丝，检查其它线路后试车正常"
1825,上罩,"发动机上罩,发动机罩掉漆,发动机罩掉漆"
1826,气管接头,"漏气,漏气,固定紧螺母后试车正常"
1827,O型圈,"漏油,漏油,更换O型圈后试车正常"
1828,动臂缸大小腔软管,"动臂油管漏油,动臂软管漏油,经现维修发现软管漏油无法修复换上该件后试机正常运行"
1829,空调继电器,"空调不制冷,空调不制冷,继电器与触点开关接触不好"
1830,气管接头,"漏气,漏气,紧固软管接口处螺丝后试车正常"
1831,O型圈,"漏油,漏油,更换O型圈后试车正常。"
1832,O型圈,"漏油,漏油,更换o型圈后试车正常"
1833,螺栓,"机车无法启动,机车无法启动,检查为控制启动继电器线接头松动，导致接触不良无法启动，检查后扭紧线接头螺丝后，机车故障排除"
1834,加力器,"没刹车,没刹车,加力器内泄，刹车油不下，导致没刹车，更换加力器，加注好刹车油，拍完空气后试机正常"
1835,前桥螺栓,"检查前桥螺丝断裂，前桥处变形。,前桥壳螺丝平台变形,前桥固定螺丝断裂，导致桥壳固定螺栓出变形"
1836,上罩,"上罩掉漆，更换上罩,发动机罩上罩油漆脱落，起包。,油漆起包脱落"
1837,冷媒,"空调制冷效果不好,空调不制冷,检查发现压缩机低压管松动泄漏，紧固加制冷剂。"
1838,加力器,"传动轴异响,前边无刹车,加力器不回油，损坏"
1839,前传动轴及支承总成,"传动轴异响,方向打死行走有异响,前传达法兰锁紧螺母松动，螺母损坏"
1840,换档软轴,"装载机档位间歇错位,该车使用时，一档跳档,经现场调试，试车恢复正常"
1841,风扇支架,"风扇和风扇托架损坏,风扇叶断裂,断裂"
1842,空调继电器,"空调不凉,用户反应该机空调不通电,拆下后更换新件，故障排除"
1843,刹车管,"刹车漏油,用户反应刹车漏油,更换刹车油管，添加刹车油，排放刹车管路空气，试车正常。"
1844,上罩支架,"上罩开裂,上罩开裂,发动机上罩开裂"
1845,气管接头,"手刹漏气,客户在使用过程中，发现放下制动阀就漏气,管子漏气"
1846,气管接头,"漏气,客户在使用过程中发现紧急制动阀漏气，,制动阀堵头松动"
1847,加力器,"油门踏板不回位,加力器串油,加力器内部密封件顺坏导致内部泄漏。"
1848,上罩,"发动力上罩损坏,发动机上罩油漆脱落,发动机上罩油漆脱落"
1849,推拉软轴,"小臂拉绳断裂。,小臂拉绳损坏,损坏，断裂"
1850,O型圈,"漏油,分配阀至转斗油缸小腔测压口螺丝漏油,O型圈老化"
1851,气管接头,"漏气,客户在使用过程中，发现停车后有渗气现象，停一会车后，气压回降低,软管松动"
1852,空调继电器,"空调不凉,空调不凉,检查为空调继电器接触不良导致，更换空调继电器后，故障排除"
1853,气制动阀总成,"刹车漏气,刹车漏气,气制动阀损坏失效"
1854,冷媒,"无空调,无空调,冷媒少导致空调无冷风。"
1855,上罩,"上罩油漆开裂,发动机上罩掉漆,油漆开裂"
1856,上罩,"上罩掉漆,上罩掉漆,更换新件完成维修"
1857,风扇,"发动机风扇破损！,发动机高温，检查发动机风扇破损！,更换新的风扇，发动机散热正常！"
1858,气制动阀总成,"刹车不好。,用户来电反映该机刹车不好。,脚制动内部损坏漏气。"
1859,工作泵,"大臂没劲,用户报修大臂没劲,齿轮泵压力低损坏"
1860,工作泵,"大臂没劲！,大臂举不起来，,主安全阀损坏"
1861,工作泵,"大臂没劲！,大臂不起没有劲,液压泵损坏"
1862,左门锁,"该机驾驶室左门锁损坏打不开,该机驾驶室左门门锁打不开,左门锁门把锁芯内固定螺丝松动使门锁外边打不开"
1863,下铰接,"中铰接异响、晃动。,铰接异响，晃动大,上下铰接销磨损导致铰接异响晃动大 间隙大"
1864,空调压缩机,"1.空调无法使用  2.计时器镜片脱落,空调不能使用,压缩机皮带轮不能正常转动"
1865,左门锁,"驾驶室左门锁钥匙锁不住，,驾驶室左门锁锁不住,锁芯损坏，需要更换门锁"
1866,气管接头,"漏油,气管漏气，无刹车,气管磨损，漏气"
1867,下铰接螺栓,"传动轴铰接销螺丝断,下绞按螺栓断,螺栓断"
1868,推拉软轴,"大臂提升慢，无力，,大劈提升慢，无力,经现场对该机软轴拉线座孑缧丝调整，加固后试机工作正常，"
1869,油门踏板,"加不起油,加不上油,油门踏板信号不匹配"
1870,O型圈,"漏油,接头漏油,密封圈失效"
1871,螺栓,"变速箱漏油,工作泵漏油,紧固后试车正常"
1872,风扇支架,"风扇支架损坏,发动机异响,风扇支架磨损"
1873,O型圈,"漏油,经现场检查，变矩器油管与变矩器散热器接头处漏油,O形圈损坏失效"
1874,风扇,"风扇叶损坏，铲斗下销打不进黄油,风扇叶损坏,更换风扇叶"
1875,气管接头,"加力器漏气,加力器管路漏气,加力器管子松了"
1876,加力器,"加力器串气,加力器串气,加力器串气"
1877,冷媒,"空调不凉,空调不凉,损坏"
1878,下铰接螺栓,"铰接下销固定螺栓断裂脱落,铰接下销固定螺栓断裂脱落,螺栓松动导致断裂"
1879,空调继电器,"空调不制冷,无空调,更换继电器后故障排除"
1880,风扇支架,"用户反映车子张紧轮卡死，风扇托架异响。,客户来电反映车子异响,风扇支架轴承磨损，皮带张紧器卡死"
1881,起动机,"启动马达损坏，车辆无法启动,启动马达损坏，车辆无法机动,启动马达损坏，车辆无法机动"
1882,上罩,"发动机罩有裂痕。,油漆脱落。,出厂油漆没做到位。"
1883,空调压缩机,"压缩机不工作,压缩机不工作,压缩机损坏"
1884,上罩支架,"上罩开焊断裂,上罩开裂,上罩开裂"
1885,组合阀,"不排气,漏气,经维修人员现场检查发现该车的制动组合阀有漏气的故障，无法正常工作。更换新件后故障排除。"
1886,螺栓,"漏气,客户反应机子平时使用刹车后机子打气很慢。,打气管螺丝松动导致漏气。"
1887,O型圈,"漏油,经现场检查，转斗油缸大腔软管与分配阀侧钢管处O形圈损坏导致漏油！,损坏失效"
1888,左门锁,"门锁坏,左开门门锁损坏,左开门门锁损坏"
1889,螺栓,"漏油,用户反应该机漏油,重新上紧固定螺丝后，试车正常"
1890,按钮阀,"无法行走,用户反应该机无法行走,重新调整按钮阀位置后，试车正常"
1891,起动机,"机子启动不了,机子启动不了,启动马达坏了"
1892,上罩支架,"上罩支架断,用户反馈该机发动机上罩支架断裂,维修更换新件后，故障排除，整机工作正常。"
1893,加力器,"后加力器喷油,客户反应装载机制动效果差。,加力器窜气，"
1894,气制动阀总成,"没有刹车,刹车不紧,行车制动阀漏气，更换新的行车制动阀，试车正常，故障排除"
1895,空调继电器,"空调不断电,关钥匙，关空调，空调不断电，关负极开关才可以，,空调继电器损坏失效，更换新继电器，试车正常故障排除"
1896,压缩机皮带,"异响,客户反应机子开空调之后有异响，空调不够凉。,压缩机皮带间隙过大。"
1897,上罩支架,"异响,客户反应机子启动后异响。,发动机舱上支架断裂。"
1898,加力器,"加力器漏油,加力器外部漏油,损坏"
1899,雨刮总成,"装载机芽孢漏油,雨刮器不转动,电机烧坏"
1900,上罩,"发动机上罩掉漆,上罩掉漆,拖落"
1901,空调继电器,"空调不制冷,空调不制冷,继电器短路"
1902,前传动轴及支承总成,"1.整机工作时前传动轴异响 ,2.整机工作时后传动轴异响,3.整机前左侧玻璃破裂,整机工作时时异响,前传动轴及支撑座轴承损坏"
1903,空调压缩机,"整车使用中有异响,压缩机轮损坏，无法使用，,压缩机轮损坏，无法使用，"
1904,放水阀,"气包放水阀损坏,该车防水阀损坏,更换新件后，工作正常，故障排除"
1905,下铰接螺栓,"下铰接销螺栓断裂，异响。,下铰接螺栓断裂。,螺栓断裂。"
1906,加力器,"漏气,经现场检查，加力器内部漏油,漏油"
1907,加力器,"车子无刹车,该机无刹车，并且在冷车状态下踩刹车时前加力器油杯杯盖气孔处会喷油，,该机在冷车状态下踩刹车时前加力器油杯杯盖气孔处会喷油，是因为该加力器内部损坏密封不严串气所致，而因为加力器的损坏所以导致该机无刹车。"
1908,油门踏板,"油门踏板回弹不了。,客户反应装载机有时候做工油门踏板不会回位。,油门踏板，内部卡死导致不能回位。"
1909,空调压缩机,"空调不制冷,客户反应没空调,经检查压缩机皮带轮生锈断裂，造成不压缩，没空调。"
1910,风扇,"风扇叶断了,发动机风扇叶断了,风扇叶损坏"
1911,螺栓,"1，变速箱加油管漏油，2，空调风扇安装螺丝断裂。,发动机机罩固定螺丝脱落,发动机机罩长期震动，螺丝松动，最终脱落"
1912,气管接头,"漏气,漏气打气慢,接头松，密封不严"
1913,手刹间隙,"手刹不太灵,手刹不灵,间隙有偏差"
1914,气管接头,"用户反映车辆单管路制动阀漏气,用户反映车辆单管路制动阀漏气，检查发现，制动阀螺丝松动，紧固螺丝后试车，工作正常。,用户反映车辆单管路制动阀漏气，检查发现，制动阀螺丝松动，紧固螺丝后试车，工作正常。"
1915,下铰接螺栓,"下铰接销退出,下铰接销上串,螺丝段裂"
1916,螺栓,"漏气,漏气,把漏气螺丝处理好后工作正常"
1917,上罩支架,"液压油箱螺丝掉落  上罩支架断裂,支架断裂,发动机上罩支架断裂"
1918,O型圈,"气压打不起,该机打气泵到储气罐气管漏气,漏气"
1919,O型圈,"漏油,客户报修漏油,更换O型圈后试车正常"
1920,雨刮总成,"雨刮器坏了,雨刮器损坏,雨刮器变形损坏"
1921,O型圈,"客户装载机漏液压油。,主分配阀管路漏油。,管路O型圈损坏。"
1922,刹车管,"刹车油管漏油,刹车油管漏油,开裂"
1923,GPS,"GPS无法定位,收不到整车信息,定位跟踪器损坏"
1924,换档软轴,"变速箱无二档,客户反应无二挡,重新调整后试车正常"
1925,气管接头,"漏气,漏气,接头松动"
1926,喇叭,"电喇叭损坏,电喇叭损坏,电喇叭损坏"
1927,组合阀,"气压过高,气压过高,组合阀存在故障"
1928,工作泵,"工作泵漏油,工作泵外部漏油,内部密封件损坏"
1929,风扇,"发动机风扇叶断裂,装载机风扇叶段裂,风扇叶损坏断裂"
1930,气管接头,"漏气,组合阀漏气,组合阀管路接头胶垫老化"
1931,冷媒,"空调不凉,空调不凉,冷媒不足，导致不凉"
1932,上罩支架,"用户来电反应该车发动机上罩支架开裂,用户反应发动机上罩支架开裂,更换发动机上罩支架总成后故障排除"
1933,油管接头,"铲车抖动,该用户反应机器抖动。,拆卸油管及油管接头，更换新的接头后安装油管试机运转正常。"
1934,燃油箱,"柴油箱漏油,燃油箱漏油,开裂"
1935,螺栓,"右窗拉线断裂,仪表盘内变速操纵杆固定螺丝松动,变速杯固定螺栓松动"
1936,刹车管,"喇叭不响，刹车失灵,铲车刹车不好,管路松动，现场紧固后故障排除"
1937,气管接头,"漏气,用户反馈该机加力器漏气，影响刹车,维修处理拧紧加力器管路接头后，故障排除，整机工作正常。"
1938,油管接头,"后机罩举不起来,该机发动机后机罩壳举升困难，举不起来,经现场检查，是举升电机至举升油缸液压管路，接举升电机一端，液压管接头松动，导致空气倒吸，不能形成闭合管路，导致发动机后机罩壳举不起来"
1939,O型圈,"机子前面有异响,软管漏油,该机左转向油缸漏液压油,该机左转向油缸漏油，是转向油缸小腔进油发兰上的堵头螺栓0型密封圈损坏，导致机子漏液压油"
1940,前桥螺栓,"前桥螺丝断掉,前桥螺丝断掉,全车螺栓断掉"
1941,前桥螺栓,"前桥螺丝断,前桥螺丝断,前桥螺丝断"
1942,液位计,"检修铰接，更换变速箱液位计,更换变速箱液位计,之前该机输出法兰脱落将变速箱液位计损坏，因无配件临时将液位计孔堵死，现在恢复正常"
1943,换档软轴,"脱挡,挂一档爬坡脱档。,挂挡拉线间隙过小导致脱档。"
1944,左门锁,"门锁关不了,用户反映，左门锁开不开,经把脱落的螺丝重新装上，再试，故障排除"
1945,工作泵,"漏液压油,漏液压油,更换新工作泵后 试车正常"
1946,前桥螺栓,"前桥骑马螺丝断裂,检查前车架与前桥骑马螺丝断裂，检查骑马螺丝有明显明显质量问题断裂，照片可以显示明显质量问题，更换骑马螺丝，防松动垫圈，螺母。正常工作(由于骑马螺丝是外部件，当驾驶员发现骑马螺丝断裂时，已经找不到旧件了，现场只留下了一个断裂螺栓头),检查前车架与前桥骑马螺丝断裂，检查骑马螺丝有明显明显质量问题断裂，照片可以显示明显质量问题，更换骑马螺丝，防松动垫圈，螺母。正常工作(由于骑马螺丝是外部件，当驾驶员发现骑马螺丝断裂时，已经找不到旧件了，现场只留下了一个断裂螺栓头)"
1947,换档软轴,"变速箱脱档,该车在挂前进一档位置时干活脱档严重,挂挡拉线推不到位 "
1948,风扇支架,"皮带损坏,风扇皮带断，支架内部卡死导致皮带损坏,，检查风扇支架晃动，中间脱口紧固不当造成损坏。为客户更换风扇托架后工作正常。 "
1949,气管接头,"挂档不走,挂档时不行走,气制动阀管路漏气"
1950,组合阀,"漏气,漏气,组合阀漏气"
1951,O型圈,"机子油缸漏油,发动机后面有异响,客户反映该机转向油缸处钢管漏油,该机转向油缸漏油是：左转向油缸小腔进油钢管上的堵头螺栓密封圈损坏，导致漏液压油"
1952,螺栓,"机子油缸漏油,发动机后面有异响,该机发动机后面会有异响,经现场检查，该机发动机后面发响是上罩总成上的防护网罩固定螺栓松动，机子行走过程中，网罩发出响声"
1953,工作泵,"工作泵异响,大泵无力异响,更换大泵后使用正常"
1954,下铰接螺栓,"下绞接销脱落,下铰接销上下串动,下铰接底端盖螺丝断裂，导致下铰接销上下串动"
1955,按钮阀,"车不走了,无法行走,更换按钮阀后工作正常"
1956,工作泵,"变速箱油增多，有串油现象。,变速箱油增多，有串油现象,齿轮泵内部泄露"
1957,空调压缩机,"空调压缩机损坏,压缩机损坏,压缩机不制冷"
1958,O型圈,"漏液压油,漏液压油,o型圈损坏"
1959,风扇支架,"发动机扇叶断裂,风扇座松动,风扇座松动"
1960,换档软轴,"变速箱异响,用户反应变速箱响,档位器螺母松动导致挂挡不到位，拧紧螺母后试车正常"
1961,工作泵,"大臂提升无力,大臂提升无力,经到现场检查发现工作泵损坏导致主安全阀发卡。经更换新I作泵后试车工作正尝"
1962,O型圈,"多路阀漏油,漏油,O型圈损坏 "
1963,O型圈,"漏气,经现场检查，脚制动阀漏气,内部漏气"
1964,加力器,"前刹车不灵敏；前刹车不灵敏,前加力器喷刹车油,回油阀封不住刹车油"
1965,前桥螺栓,"换桥螺丝,前桥螺栓断,断裂"
1966,刹车管,"刹车不灵,刹车不灵,刹车管损坏"
1967,燃油箱,"柴油箱裂纹；轮边端盖漏油；轮边端盖漏油,用户报燃油箱焊缝有沙眼,燃油箱焊缝渗油"
1968,换档软轴,"变速箱脱档故障,变速箱脱档过障,经到现场检查发现操作软轴间隙偏大导致变速箱脱档，经维修后试车工作正常。"
1969,O型圈,"漏油,工作泵外部漏油,欧型圈破损"
1970,气管接头,"漏气,漏气,松动"
1971,油管接头,"后机罩打不开,用户反应打开后机罩时起升慢,电动泵进油软管接头松动"
1972,换档软轴,"行走时脱档,工作时变速箱有时脱档,操纵软轴位置有偏差。"
1973,螺栓,"组合阀漏气。发动机机脚螺丝和盖脱落,发动机安装螺丝脱落,安装螺丝脱落"
1974,组合阀,"组合阀漏气。发动机机脚螺丝和盖脱落,组合阀漏气,漏气"
1975,推拉软轴,"大臂无力,大臂无力  起落慢,大臂拉线调整螺丝松动导致大臂拉线拉不到位大臂无力  起落慢  重新调整后试机恢复正常"
1976,加力器,"方向卡动，前刹车没有,无刹车。,喷油。"
1977,螺栓,"变速箱位置漏油,变速箱位置漏油，检查发现工作泵与行走泵链接处漏油，紧固螺栓试车正常。,变速箱位置漏油，检查发现工作泵与行走泵链接处漏油，紧固螺栓试车正常。"
1978,推拉软轴,"小臂拉线重,软轴重,软轴损坏"
1979,推拉软轴,"大小臂重,大臂，小臂操纵紧,软轴干涩"
1980,推拉软轴,"大小臂拉线损坏导致操作费劲,软轴损坏,灰尘进到软轴里"
1981,推拉软轴,"小斗重,使用时小斗沉重,操纵杆下方过桥轴卡涩"
1982,喇叭,"大灯不亮,喇叭不响,喇叭坏掉"
1983,组合阀,"漏气,用户反应该机漏气,拆下后更换新件，故障排除"
1984,螺栓,"机子工作时行走无力，,机子停车后手刹不灵,经现场对该机手刹制动器调整座子螺丝调整后试机工作正常，"
1985,O型圈,"动臂油缸油管漏油。,用户电话报修，该机液压管漏油,油管接头处O 型圈密封失效"
1986,工作泵,"变速箱油位增加,变速箱油位增加,齿轮泵内部故障导致串油进入变速箱  跟换齿轮泵后恢复正常"
1987,喇叭,"喇叭不响,喇叭不响,电喇叭损坏"
1988,组合阀,"刹车抱死，夹钳漏油，制动盘磨损,组合阀漏气，制动气压不足。,组合阀侧面漏气"
1989,气制动阀总成,"刹车抱死，夹钳漏油，制动盘磨损,气制动阀漏气,气制动阀漏气"
1990,空调压缩机,"空调不制冷,压缩机不制冷,压缩机损坏"
1991,换档软轴,"无倒档,经现场检查，换倒档时费力,干涉"
1992,螺栓,"手刹漏气,该机手刹漏气、是气管堵头螺丝松动所致。,拆下堵头螺丝、缠绕生胶戴按装后试机正常。"
1993,前传动轴及支承总成,"前桥行走时有异响,车辆行走时 前桥有异响,前传动轴及支承总成损坏"
1994,按钮阀,"车辆无行走，发动机漏水,车辆无行走,手刹按钮阀按不位，间隙偏差，调整后试车正常！"
1995,左门锁,"门锁坏了，导致车门无法打开,该车车门无法打开,门锁锁扣卡死，导致车门无法打开"
1996,上罩支架,"发动机上罩支架断裂,发动机上罩支架断裂,发动机上罩支架断裂"
1997,工作泵,"动臂起升慢，无力,动臂起升慢,压力不够，大泵磨损"
1998,气制动阀总成,"脚踩阀漏气,漏气,更换"
1999,前传动轴及支承总成,"前桥异响,前传动轴损坏,前传动轴承损坏，更换前传动轴"
2000,气管接头,"维修漏气,制动阀漏气,该机气制动阀漏气，气管垫片损坏导致漏气"
2001,换档软轴,"倒挡跳档,检查操作系统拉线位置松动，调整拉线位置，正常工作,检查操作系统拉线位置松动，调整拉线位置，正常工作"
2002,刹车管,"前右刹车有管漏油,前桥右刹车油管漏油,前桥右夹钳油管漏油更换后正常"
2003,O型圈,"漏油,转斗缸大腔软管接头漏油,更换后试车正常，维修完毕。"
2004,换档软轴,"倒挡反应慢,倒挡反应慢,调整软轴后试车正常，维修完毕。"
2005,气管接头,"漏气,客户在使用过程中发现有漏气现象，,管子松动"
2006,前传动轴及支承总成,"前传动轴及中间支承损坏,前传动轴及中间支承损坏,更换前传动轴及中间支承"
2007,O型圈,"起大臂重,客户反应操作杆重，经检查不重，有漏油现象,更换O型圈后故障排除"
2008,加力器,"刹车不灵,刹车不灵,更换加力器后故障排除"
2009,推拉软轴,"发动机异响，操纵杆重,大小臂操纵杆重，卡,调整软轴位置后一切正常"
2010,螺栓,"变速箱固定螺栓丢失,变速箱固定螺栓丢失,重新安装螺栓"
2011,加力器,"刹车不好使,刹车不好使,加力器损坏，"
2012,下铰接螺栓,"1，铰接下销螺栓断裂，2，空调不制冷，3，呼吸器漏油。,下铰接销松动,下绞接销固定螺栓断裂"
2013,上罩支架,"整车异响,工作时有异响,上罩开裂"
2014,螺栓,"行走异响,后摆架罗栓松动，支承轴紧固罗栓松动，防尘圈突出，后传动轴锁紧罗母松动,雇用风炮紧固后摆动支架罗栓，其它检修紧固后使用正常"
2015,O型圈,"漏液压油,转向泵出油管漏液压油,密封不严"
2016,风扇支架,"风扇托架损坏,用户来电报修风扇托架损坏,原件损坏"
2017,螺栓,"异响,异响,震动导致"
2018,起动机,"马达损坏,起动机损坏,更换起动机后正常"
